order_id	order_date	store_name	pay_method	deliver_date	landed_days	planned_days	cust_id	cust_name	cust_type	city	province	region	product_id	product	category	subcategory	sales	amount	discount	profit	rate	return	satisfied	dt
CN-2022-103559	2022/12/25	海恒店	其它	2022/12/29	4 	4	Cust-19480	佘巧	消费者	宿州	安徽	华东	Prod-10000292	Wilson_Jones_装订机盖_实惠	办公类	装订机	261.1	5	0	10.63	4.07%	0	0	2022
CN-2022-103570	2022/12/25	庐江店	支付宝	2022/12/31	6 	6	Cust-14050	白鹄	消费者	上海	上海	华东	Prod-10004315	Tenex_框架_一包多件	家具类	用具	1540.56	3	0	53.858	3.50%	0	0	2022
CN-2022-103555	2022/12/25	燎原店	信用卡	2022/12/27	2 	1	Cust-17350	冯丽丽	消费者	深圳	广东	中南	Prod-10003334	Cameo_马尼拉纸信封_红色	办公类	信封	570.08	4	0	19.76875	3.47%	0	0	2022
CN-2022-103558	2022/12/25	众兴店	其它	2022/12/29	4 	4	Cust-18130	袁梅	公司	唐河	河南	中南	Prod-10003933	OIC_图钉_每包_12_个	办公类	系固件	126	2	0	4.297	3.41%	0	0	2022
CN-2022-103567	2022/12/25	金寨店	微信	2022/12/31	6 	6	Cust-14050	白鹄	消费者	上海	上海	华东	Prod-10001026	Fiskars_修剪器_锯齿状	办公类	用品	1274	7	0	43.104	3.38%	0	0	2022
CN-2022-103557	2022/12/25	众兴店	信用卡	2022/12/29	4 	4	Cust-14200	曹欢悦	小型企业	罗城	四川	西南	Prod-10000548	Avery_孔加固材料_实惠	办公类	装订机	61.74	3	0	2.06875	3.35%	0	0	2022
CN-2022-103571	2022/12/25	金寨店	其它	2022/12/31	6 	6	Cust-19210	袁平	公司	宿州	安徽	华东	Prod-10002448	夏普_传真机_数字化	技术类	复印机	9646.14	7	0	317.94	3.30%	0	0	2022
CN-2022-103568	2022/12/25	临泉店	信用卡	2022/12/31	6 	6	Cust-14050	白鹄	消费者	上海	上海	华东	Prod-10001674	Jiffy_外皮和封条_红色	办公类	信封	329.7	3	0	8.428	2.56%	0	0	2022
CN-2022-103569	2022/12/25	人民店	信用卡	2022/12/31	6 	6	Cust-14050	白鹄	消费者	上海	上海	华东	Prod-10001635	佳能_复印机_红色	技术类	复印机	1214.92	1	0	30.092	2.48%	0	0	2022
CN-2022-103565	2022/12/25	人民店	信用卡	2022/12/31	6 	6	Cust-14050	白鹄	消费者	上海	上海	华东	Prod-10002246	Novimex_沙滩椅_每套两件	家具类	椅子	899.92	4	0	18.604	2.07%	0	0	2022
CN-2022-103564	2022/12/25	临泉店	支付宝	2022/12/31	6 	6	Cust-14050	白鹄	消费者	上海	上海	华东	Prod-10003809	Office_Star_摇椅_红色	家具类	椅子	2630.32	4	0	53.534	2.04%	0	0	2022
CN-2022-103561	2022/12/25	海恒店	信用卡	2022/12/30	5 	5	Cust-14335	马惠英	公司	仪征	江苏	华东	Prod-10004719	Bevis_圆桌_黑色	家具类	桌子	13542.032	14	0.6	-48.17	-0.36%	0	0	2022
CN-2022-103560	2022/12/25	金寨店	支付宝	2022/12/30	5 	5	Cust-14335	马惠英	公司	仪征	江苏	华东	Prod-10003733	Deflect-O_闹钟_黑色	家具类	用具	422.604	3	0.4	-3.99	-0.94%	0	0	2022
CN-2022-103562	2022/12/25	众兴店	信用卡	2022/12/30	5 	5	Cust-14335	马惠英	公司	仪征	江苏	华东	Prod-10003295	OIC_订书钉_整包	办公类	系固件	95.256	3	0.4	-2.35	-2.47%	0	0	2022
CN-2022-103563	2022/12/25	众兴店	微信	2022/12/30	5 	5	Cust-13045	尹凤	公司	杭州	浙江	华东	Prod-10001029	Ibico_订书机_实惠	办公类	装订机	719.88	5	0.4	-24.2	-3.36%	0	0	2022
CN-2022-103541	2022/12/24	临泉店	信用卡	2022/12/28	4 	4	Cust-21640	涂伟	消费者	西安	陕西	西北	Prod-10003170	Brother_墨水_每套两件	技术类	复印机	2062.2	3	0	117.01	5.67%	0	0	2022
CN-2022-103539	2022/12/24	金寨店	支付宝	2022/12/24	0 	0	Cust-17920	秦蔓楚	消费者	西安	陕西	西北	Prod-10002095	Advantus_灯泡_黑色	家具类	用具	280.98	3	0	15.87	5.65%	0	0	2022
CN-2022-103538	2022/12/24	众兴店	信用卡	2022/12/24	0 	0	Cust-17920	秦蔓楚	消费者	西安	陕西	西北	Prod-10003644	Kraft_外皮和封条_回收	办公类	信封	270.06	3	0	11.025	4.08%	0	0	2022
CN-2022-103540	2022/12/24	燎原店	微信	2022/12/27	3 	1	Cust-18520	柯娜	消费者	常德	湖南	中南	Prod-10002378	Smead_文件夹标签_耐用	办公类	标签	216.3	5	0	8.514	3.94%	0	0	2022
CN-2022-103537	2022/12/24	庐江店	其它	2022/12/24	0 	0	Cust-17920	秦蔓楚	消费者	西安	陕西	西北	Prod-10004283	OIC_橡皮筋_每包_12_个	办公类	系固件	231	3	0	7.264	3.14%	0	0	2022
CN-2022-103546	2022/12/24	众兴店	信用卡	2022/12/29	5 	5	Cust-21400	施旺	消费者	廊坊	河北	华北	Prod-10000631	Dania_古典书架_金属	家具类	书架	5743.08	3	0	179.765	3.13%	0	0	2022
CN-2022-103547	2022/12/24	金寨店	其它	2022/12/29	5 	5	Cust-21400	施旺	消费者	廊坊	河北	华北	Prod-10003316	惠普_复印机_每套两件	技术类	复印机	4548.88	4	0	136.97	3.01%	0	0	2022
CN-2022-103544	2022/12/24	海恒店	信用卡	2022/12/28	4 	4	Cust-21640	涂伟	消费者	西安	陕西	西北	Prod-10004030	Harbour_Creations_可去除的标签_红色	办公类	标签	142.38	3	0	4.28625	3.01%	0	0	2022
CN-2022-103552	2022/12/24	庐江店	其它	2022/12/30	6 	6	Cust-21775	潘雯	公司	海州	江苏	华东	Prod-10001221	Stockwell_按钉_金属	办公类	系固件	284.004	7	0.4	8.308	2.93%	0	0	2022
CN-2022-103545	2022/12/24	燎原店	微信	2022/12/29	5 	5	Cust-21400	施旺	消费者	廊坊	河北	华北	Prod-10002757	Stockwell_按钉_混合尺寸	办公类	系固件	106.68	2	0	2.86625	2.69%	0	0	2022
CN-2022-103543	2022/12/24	定远店	支付宝	2022/12/28	4 	4	Cust-14185	汤欢悦	消费者	汶上	山东	华东	Prod-10002049	Ibico_装订机盖_透明	办公类	装订机	122.36	2	0	3.218	2.63%	0	0	2022
CN-2022-103548	2022/12/24	燎原店	其它	2022/12/29	5 	5	Cust-21400	施旺	消费者	廊坊	河北	华北	Prod-10002340	三星_耳机_整包	技术类	电话	1026.06	3	0	26.3725	2.57%	0	0	2022
CN-2022-103542	2022/12/24	庐江店	微信	2022/12/28	4 	4	Cust-21640	涂伟	消费者	西安	陕西	西北	Prod-10004110	Ames_搭扣信封_银色	办公类	信封	89.6	2	0	2.058	2.30%	0	0	2022
CN-2022-103553	2022/12/24	临泉店	微信	2022/12/31	7 	6	Cust-13570	沈虢	消费者	烟台	山东	华东	Prod-10000287	Wilson_Jones_孔加固材料_实惠	办公类	装订机	38.052	3	0.4	-0.759	-1.99%	0	0	2022
CN-2022-103551	2022/12/24	人民店	微信	2022/12/30	6 	6	Cust-21775	潘雯	公司	海州	江苏	华东	Prod-10003441	Avery_标签_耐用	办公类	装订机	43.848	2	0.4	-0.899	-2.05%	0	0	2022
CN-2022-103549	2022/12/24	人民店	微信	2022/12/29	5 	5	Cust-19165	佘平	消费者	雄州	广东	中南	Prod-10000994	Avery_装订机_耐用	办公类	装订机	40.32	1	0.4	-1.02	-2.53%	0	0	2022
CN-2022-103550	2022/12/24	人民店	信用卡	2022/12/29	5 	5	Cust-19165	佘平	消费者	雄州	广东	中南	Prod-10004757	Breville_炉灶_黑色	办公类	器具	3141.432	2	0.4	-84.9	-2.70%	0	0	2022
CN-2022-103531	2022/12/23	定远店	其它	2022/12/28	5 	5	Cust-20875	熊宣	消费者	青岛	山东	华东	Prod-10002355	Rogers_文件车_蓝色	办公类	收纳具	4625.6	7	0	263.63	5.70%	0	0	2022
CN-2022-103525	2022/12/23	金寨店	微信	2022/12/27	4 	4	Cust-18085	倪幂	消费者	汕头	广东	中南	Prod-10002018	Novimex_合法证物标签_可调	办公类	标签	78.12	2	0	3.86	4.94%	0	0	2022
CN-2022-103533	2022/12/23	人民店	信用卡	2022/12/28	5 	5	Cust-18310	柳明	小型企业	沈阳	辽宁	东北	Prod-10002682	佳能_传真机_每套两件	技术类	复印机	2971.64	2	0	129.42	4.36%	0	0	2022
CN-2022-103523	2022/12/23	长泰店	其它	2022/12/27	4 	4	Cust-18085	倪幂	消费者	汕头	广东	中南	Prod-10000918	Hon_圆形标签_耐用	办公类	标签	98.7	3	0	3.854	3.90%	0	0	2022
CN-2022-103512	2022/12/23	众兴店	信用卡	2022/12/23	0 	0	Cust-20545	倪爽	公司	南昌	江西	华东	Prod-10003033	StarTech_喷墨打印机_耐用	技术类	设备	11270.56	8	0	434.75	3.86%	0	0	2022
CN-2022-103524	2022/12/23	金寨店	信用卡	2022/12/27	4 	4	Cust-18085	倪幂	消费者	汕头	广东	中南	Prod-10000833	Accos_橡皮筋_每包_12_个	办公类	系固件	150.36	2	0	5.55125	3.69%	0	0	2022
CN-2022-103526	2022/12/23	燎原店	其它	2022/12/28	5 	5	Cust-12835	许凤	公司	曲靖	云南	西南	Prod-10004503	Jiffy_商业信封_回收	办公类	信封	413.28	6	0	15.055	3.64%	0	0	2022
CN-2022-103517	2022/12/23	定远店	其它	2022/12/23	0 	0	Cust-20545	倪爽	公司	南昌	江西	华东	Prod-10003177	Harbour_Creations_椅垫_每套两件	家具类	椅子	1039.5	3	0	33.262	3.20%	0	0	2022
CN-2022-103532	2022/12/23	海恒店	其它	2022/12/28	5 	5	Cust-18310	柳明	小型企业	沈阳	辽宁	东北	Prod-10002381	Harbour_Creations_运输标签_耐用	办公类	标签	110.6	2	0	3.51125	3.17%	0	0	2022
CN-2022-103516	2022/12/23	众兴店	信用卡	2022/12/23	0 	0	Cust-20545	倪爽	公司	南昌	江西	华东	Prod-10000998	Kleencut_大剪刀_锯齿状	办公类	用品	202.86	1	0	6.36	3.14%	0	0	2022
CN-2022-103513	2022/12/23	庐江店	信用卡	2022/12/23	0 	0	Cust-18370	巩明媚	消费者	满洲里	内蒙古	华北	Prod-10000562	Kraft_搭扣信封_银色	办公类	信封	53.2	1	0	1.627	3.06%	0	0	2022
CN-2022-103527	2022/12/23	长泰店	信用卡	2022/12/28	5 	5	Cust-12835	许凤	公司	曲靖	云南	西南	Prod-10002404	贝尔金_键盘_耐用	技术类	配件	1569.68	4	0	46.628	2.97%	0	0	2022
CN-2022-103534	2022/12/23	定远店	信用卡	2022/12/28	5 	5	Cust-18310	柳明	小型企业	沈阳	辽宁	东北	Prod-10003939	Cameo_商业信封_回收	办公类	信封	735	10	0	21.17625	2.88%	0	0	2022
CN-2022-103528	2022/12/23	人民店	微信	2022/12/28	5 	5	Cust-10375	邓保	消费者	昆明	云南	西南	Prod-10001162	Enermax_令_每包_12_个	办公类	纸张	1217.44	8	0	35.03375	2.88%	0	0	2022
CN-2022-103535	2022/12/23	长泰店	其它	2022/12/28	5 	5	Cust-18310	柳明	小型企业	沈阳	辽宁	东北	Prod-10003572	Breville_咖啡研磨机_黑色	办公类	器具	1430.1	5	0	32.486	2.27%	0	0	2022
CN-2022-103536	2022/12/23	临泉店	支付宝	2022/12/28	5 	5	Cust-18310	柳明	小型企业	沈阳	辽宁	东北	Prod-10004652	Stiletto_开信刀_钢	办公类	用品	648.2	5	0	14.672	2.26%	0	0	2022
CN-2022-103518	2022/12/23	金寨店	支付宝	2022/12/23	0 	0	Cust-18370	巩明媚	消费者	满洲里	内蒙古	华北	Prod-10001112	Fellowes_盒_工业	办公类	收纳具	282.24	3	0	6.152	2.18%	0	0	2022
CN-2022-103511	2022/12/23	燎原店	信用卡	2022/12/23	0 	0	Cust-20545	倪爽	公司	南昌	江西	华东	Prod-10004447	佳能_复印机_每套两件	技术类	复印机	2446.64	2	0	50.074	2.05%	0	0	2022
CN-2022-103514	2022/12/23	长泰店	微信	2022/12/23	0 	0	Cust-18370	巩明媚	消费者	满洲里	内蒙古	华北	Prod-10003013	松下_喷墨打印机_红色	技术类	设备	6926.976	8	0.4	-44.91	-0.65%	0	0	2022
CN-2022-103520	2022/12/23	海恒店	其它	2022/12/25	2 	3	Cust-13510	麦虢	公司	钟祥	湖北	中南	Prod-10002438	StarTech_打印机_多色	技术类	设备	3586.38	5	0.4	-60.14	-1.68%	0	0	2022
CN-2022-103515	2022/12/23	众兴店	信用卡	2022/12/23	0 	0	Cust-18370	巩明媚	消费者	满洲里	内蒙古	华北	Prod-10003836	Hoover_微波炉_黑色	办公类	器具	1725.192	2	0.4	-41.92	-2.43%	0	0	2022
CN-2022-103522	2022/12/23	定远店	信用卡	2022/12/27	4 	4	Cust-17350	冯丽丽	消费者	深圳	广东	中南	Prod-10000470	Advantus_框架_优质	家具类	用具	921.816	3	0.4	-23.96	-2.60%	0	0	2022
CN-2022-103529	2022/12/23	人民店	其它	2022/12/28	5 	5	Cust-20875	熊宣	消费者	青岛	山东	华东	Prod-10004619	Stockwell_订书钉_金属	办公类	系固件	30.576	1	0.4	-0.823	-2.69%	0	0	2022
CN-2022-103519	2022/12/23	临泉店	其它	2022/12/25	2 	3	Cust-14845	贺锦	消费者	南宁	广西	中南	Prod-10004519	罗技_鼠标_实惠	技术类	配件	245.952	3	0.4	-7.445	-3.03%	0	0	2022
CN-2022-103521	2022/12/23	金寨店	其它	2022/12/27	4 	4	Cust-17350	冯丽丽	消费者	深圳	广东	中南	Prod-10003487	Avery_装订机盖_回收	办公类	装订机	64.008	2	0.4	-2.35	-3.67%	0	0	2022
CN-2022-103530	2022/12/23	海恒店	信用卡	2022/12/28	5 	5	Cust-20875	熊宣	消费者	青岛	山东	华东	Prod-10000702	Hoover_咖啡研磨机_红色	办公类	器具	385.224	2	0.4	-15.06	-3.91%	0	0	2022
CN-2022-103488	2022/12/22	庐江店	信用卡	2022/12/26	4 	4	Cust-21925	丁武	消费者	青岛	山东	华东	Prod-10002321	Novimex_椅垫_可调	家具类	椅子	988.344	4	0.1	49.125	4.97%	0	0	2022
CN-2022-103506	2022/12/22	长泰店	其它	2022/12/27	5 	5	Cust-20290	叶实	公司	太原	山西	华北	Prod-10003069	KitchenAid_咖啡研磨机_银色	办公类	器具	1661.8	5	0	79.215	4.77%	0	0	2022
CN-2022-103501	2022/12/22	燎原店	其它	2022/12/26	4 	4	Cust-10855	苏婵娟	消费者	桂林	广西	中南	Prod-10002846	三星_音频基座_混合尺寸	技术类	电话	2375.52	3	0	111.835	4.71%	0	0	2022
CN-2022-103491	2022/12/22	庐江店	其它	2022/12/26	4 	4	Cust-12445	曹冬露	消费者	邢台	河北	华北	Prod-10000779	夏普_个人复印机_红色	技术类	复印机	2206.4	5	0.2	97.505	4.42%	0	0	2022
CN-2022-103502	2022/12/22	长泰店	信用卡	2022/12/26	4 	4	Cust-12445	曹冬露	消费者	邢台	河北	华北	Prod-10004015	Bush_墙角架_传统	家具类	书架	3471.72	6	0	143.03	4.12%	0	0	2022
CN-2022-103482	2022/12/22	燎原店	信用卡	2022/12/25	3 	1	Cust-20800	常宣	消费者	徐州	江苏	华东	Prod-10004840	GlobeWeis_搭扣信封_银色	办公类	信封	114.8	2	0	4.611	4.02%	0	0	2022
CN-2022-103499	2022/12/22	人民店	支付宝	2022/12/26	4 	4	Cust-10855	苏婵娟	消费者	桂林	广西	中南	Prod-10002247	施乐_令_每包_12_个	办公类	纸张	426.72	3	0	15.945	3.74%	0	0	2022
